frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,lane_event,map
15247,637.067,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15248,637.117,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15249,637.167,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15250,637.217,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15251,637.267,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15252,637.317,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15253,637.367,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15254,637.417,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15255,637.467,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15256,637.517,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15257,637.567,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15258,637.617,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15259,637.667,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
