participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
102,town02_parked_right,0,0.24,39.64036077863425,0.6759,0.4326,0.1226,0.942,arrow,windshield,RGB,True,1.098,scale,0.6664,opacity,0.5663,vibration_dist,0.383
102,town01_tight_gap,1,0.076,37.56078591085652,0.5828,0.3865,0.1576,0.9114,sound,windshield,RGB,False,1.018,lateral_threshold,0.5812,cooldown,0.4644,volume,0.6514
102,town01_crash_two_veers,2,0.218,22.166579285521937,0.6004,0.5902,0.2123,0.9266,route,windshield,colorblind,True,1.123,line_width,0.5925,opacity,0.5619,vibration_dist,0.4799
102,town04_crossing_triple,3,0.518,16.540542839701537,0.5579,0.7875,0.2436,0.9446,route,panel,colorblind,True,1.296,line_width,0.6107,opacity,0.6327,vibration_dist,0.3973
102,town01_crash_with_parked,4,0.124,25.063334243673417,0.5504,0.0236,0.2039,0.8869,arrow,panel,colorblind,True,1.009,scale,0.5328,opacity,0.5251,vibration_dist,0.603
102,town02_crash_plus_slow_npc,5,0.368,22.656903736334467,0.5407,0.6185,0.306,0.9263,route,panel,colorblind,False,1.089,line_width,0.5259,opacity,0.6067,vibration_dist,0.4558
102,town04_crossing_triple,6,0.095,94.16601051872222,0.286,0.2525,0.1529,0.9168,sound,windshield,colorblind,True,1.021,lateral_threshold,0.5543,cooldown,0.6857,volume,0.611
102,town01_tight_gap,7,0.481,12.689711483710441,0.5414,0.7669,0.2423,0.9372,sound,windshield,colorblind,False,0.857,lateral_threshold,0.5486,cooldown,0.6409,volume,0.6442
102,town02_crash_veer_left,8,0.161,32.95972485669511,0.5617,0.6189,0.2731,0.9182,sound,windshield,colorblind,False,1.011,lateral_threshold,0.6572,cooldown,0.7872,volume,0.6941
102,town04_crossing_parked_plus_slow,9,0.453,19.908770308708675,0.6509,0.7034,0.2401,0.9302,arrow,windshield,RGB,True,1.05,scale,0.8212,opacity,0.3506,vibration_dist,0.6284
102,town04_crossing_parked_plus_slow,10,0.0,43.21188574008119,0.3146,0.005,0.0,0.9927,arrow,windshield,RGB,True,1.083,scale,1.0,opacity,0.3446,vibration_dist,0.5073
102,town02_three_parked,11,0.0,82.01217974846755,0.3135,0.0025,0.0,0.9959,sound,panel,colorblind,False,1.281,lateral_threshold,0.5345,cooldown,0.5784,volume,0.6599
102,town02_crash_veer_right,12,0.498,31.336330382719993,0.4782,0.034,0.3112,0.9014,sound,panel,colorblind,False,1.244,lateral_threshold,0.6922,cooldown,0.6925,volume,0.6067
102,town04_crossing_parked_plus_slow,13,0.221,20.437906454600725,0.3208,0.0075,0.3727,0.8892,sound,panel,colorblind,False,1.332,lateral_threshold,0.5965,cooldown,0.8969,volume,0.5984
102,town02_double_stagger,14,0.425,49.20588659386736,0.5386,0.3014,0.1141,0.9121,sound,panel,colorblind,False,1.518,lateral_threshold,0.665,cooldown,0.7267,volume,0.6426
102,town02_crash_plus_slow_npc,15,0.017,37.60276258842722,0.7395,0.5979,0.1951,0.8895,arrow,panel,colorblind,False,1.388,scale,0.9672,opacity,0.6377,vibration_dist,0.4647
102,town02_slow_npc,16,0.0,57.14463534216215,0.513,0.4959,0.2143,0.9276,arrow,windshield,RGB,False,1.144,scale,0.8307,opacity,0.3872,vibration_dist,0.4284
102,town01_crash_veer_left,17,0.099,37.13024681378025,0.4709,0.0564,0.2267,0.9002,arrow,panel,colorblind,True,1.277,scale,0.919,opacity,0.7134,vibration_dist,0.3327
102,town01_crash_with_parked,18,0.0,10.583569903646241,0.4826,0.0055,0.4097,0.866,sound,panel,RGB,False,1.223,lateral_threshold,0.8476,cooldown,0.6033,volume,0.5244
102,town02_crash_plus_slow_npc,19,0.348,20.982858693264063,0.4411,0.4407,0.3234,0.9245,route,panel,RGB,False,1.395,line_width,0.5557,opacity,0.5652,vibration_dist,0.3843
