participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
16,town02_parked_right,0,0.389,16.9662189160335,0.5772,0.6494,0.2676,0.9416,arrow,windshield,RGB,True,0.966,scale,0.8578,opacity,0.4546,vibration_dist,0.7261
16,town01_tight_gap,1,0.413,9.391756117125405,0.5684,0.761,0.2124,0.9528,arrow,windshield,RGB,False,1.962,scale,0.5928,opacity,0.9585,vibration_dist,0.2552
16,town01_crash_two_veers,2,0.082,32.57271736528101,0.4755,0.8307,0.2918,0.9381,arrow,windshield,RGB,False,0.812,scale,0.8432,opacity,0.4621,vibration_dist,0.6914
16,town04_crossing_triple,3,0.449,14.451674481551187,0.5564,0.7969,0.3029,0.9392,arrow,windshield,RGB,False,1.861,scale,0.4333,opacity,0.2382,vibration_dist,0.0144
16,town01_crash_with_parked,4,0.069,44.63432943011348,0.3554,0.403,0.3013,0.8977,arrow,panel,RGB,True,0.778,scale,0.8587,opacity,0.6721,vibration_dist,0.2887
16,town02_crash_plus_slow_npc,5,0.089,39.506650529333434,0.4971,0.795,0.3613,0.9297,arrow,panel,RGB,False,0.639,scale,0.0328,opacity,0.3417,vibration_dist,0.5972
16,town04_crossing_triple,6,0.319,25.58869636508956,0.42,0.3011,0.3672,0.8912,arrow,windshield,RGB,False,1.148,scale,0.548,opacity,0.8861,vibration_dist,0.0048
16,town01_tight_gap,7,0.0,25.909750766429443,0.393,0.5575,0.2179,0.9456,arrow,panel,RGB,False,1.284,scale,0.0891,opacity,0.6543,vibration_dist,0.2994
16,town02_crash_veer_left,8,0.453,14.557077961755441,0.5857,0.6003,0.3934,0.9098,arrow,panel,RGB,True,1.967,scale,0.1621,opacity,0.4336,vibration_dist,0.7187
16,town04_crossing_parked_plus_slow,9,0.016,22.629565713180696,0.4939,0.7519,0.353,0.9224,arrow,windshield,RGB,False,1.415,scale,0.499,opacity,0.9487,vibration_dist,0.2046
16,town04_crossing_parked_plus_slow,10,0.485,15.708788473923278,0.4995,0.7612,0.3025,0.9359,arrow,windshield,RGB,True,1.702,scale,0.0349,opacity,0.2247,vibration_dist,0.8082
16,town02_three_parked,11,0.366,18.856109685281087,0.6216,0.7964,0.2856,0.9399,arrow,windshield,RGB,True,1.285,scale,0.0263,opacity,0.4531,vibration_dist,0.5105
16,town02_crash_veer_right,12,0.541,8.994871331486149,0.7888,0.8461,0.2608,0.9448,arrow,panel,RGB,False,0.982,scale,0.0652,opacity,0.0025,vibration_dist,0.2931
16,town04_crossing_parked_plus_slow,13,0.492,18.74099245601816,0.4615,0.7954,0.3391,0.9353,arrow,panel,RGB,False,1.671,scale,0.1768,opacity,0.8632,vibration_dist,0.3356
16,town02_double_stagger,14,0.503,13.880514188750933,0.78,0.8795,0.2743,0.9414,arrow,panel,RGB,False,1.788,scale,0.4231,opacity,0.3036,vibration_dist,0.4929
16,town02_crash_plus_slow_npc,15,0.388,16.960561575697167,0.6638,0.7483,0.2993,0.9288,arrow,windshield,RGB,True,1.178,scale,0.3221,opacity,0.8961,vibration_dist,0.3943
16,town02_slow_npc,16,0.407,12.621184112256008,0.5789,0.6543,0.3325,0.9204,arrow,panel,RGB,True,0.59,scale,0.9011,opacity,0.5569,vibration_dist,0.516
16,town01_crash_veer_left,17,0.138,26.721270098203654,0.4543,0.6368,0.3314,0.9209,arrow,windshield,RGB,False,1.533,scale,0.723,opacity,0.9763,vibration_dist,0.6881
16,town01_crash_with_parked,18,0.0,72.90642117942842,0.3541,0.5534,0.243,0.9351,arrow,windshield,RGB,False,1.069,scale,0.3899,opacity,0.7064,vibration_dist,0.1638
16,town02_crash_plus_slow_npc,19,0.108,25.419021432980973,0.6906,0.568,0.3295,0.9195,arrow,panel,RGB,True,0.535,scale,0.749,opacity,0.354,vibration_dist,0.8961
