participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
103,town02_parked_right,0,0.198,45.23280547264874,0.6584,0.3753,0.0947,0.9479,arrow,panel,RGB,False,1.017,scale,0.3295,opacity,0.6094,vibration_dist,0.3682
103,town01_tight_gap,1,0.271,59.367963673609275,0.4599,0.2947,0.1414,0.9312,sound,windshield,RGB,False,1.151,lateral_threshold,0.5979,cooldown,0.4904,volume,0.4476
103,town01_crash_two_veers,2,0.1,35.21050067369056,0.5886,0.656,0.2288,0.9213,arrow,windshield,colorblind,False,1.288,scale,0.3035,opacity,0.4957,vibration_dist,0.3871
103,town04_crossing_triple,3,0.069,117.5730362679169,0.3887,0.3025,0.2325,0.8976,sound,panel,colorblind,False,1.442,lateral_threshold,0.4158,cooldown,0.4473,volume,0.429
103,town01_crash_with_parked,4,0.0,80.48505226034602,0.3138,0.0032,0.0,0.9957,arrow,windshield,colorblind,False,1.272,scale,0.2736,opacity,0.4177,vibration_dist,0.4077
103,town02_crash_plus_slow_npc,5,0.0,77.35486559694051,0.3136,0.0026,0.0,0.9959,sound,panel,colorblind,True,1.247,lateral_threshold,0.4109,cooldown,0.5622,volume,0.3857
103,town04_crossing_triple,6,0.0,43.939973291573196,0.3145,0.0049,0.0,0.9929,route,panel,RGB,False,1.254,line_width,0.4887,opacity,0.6529,vibration_dist,0.5357
103,town01_tight_gap,7,0.014,61.88451322032796,0.5846,0.0887,0.0217,0.909,route,panel,RGB,False,1.231,line_width,0.3778,opacity,0.6165,vibration_dist,0.7811
103,town02_crash_veer_left,8,0.0,63.484492991895436,0.3138,0.0031,0.0,0.9951,sound,windshield,RGB,True,1.3,lateral_threshold,0.3677,cooldown,0.4112,volume,0.3598
103,town04_crossing_parked_plus_slow,9,0.0,44.65444179304125,0.3145,0.0048,0.0,0.993,route,panel,RGB,False,1.11,line_width,0.2814,opacity,0.5346,vibration_dist,0.7544
103,town04_crossing_parked_plus_slow,10,0.0,44.65444179304125,0.3145,0.0048,0.0,0.993,arrow,windshield,colorblind,False,0.972,scale,0.3117,opacity,0.4799,vibration_dist,0.2486
103,town02_three_parked,11,0.0,77.420008495937,0.3136,0.0026,0.0,0.9958,route,windshield,colorblind,True,1.113,line_width,0.3311,opacity,0.6714,vibration_dist,0.7964
103,town02_crash_veer_right,12,0.0,61.7126643072255,0.3139,0.0034,0.0,0.9945,sound,windshield,colorblind,False,1.155,lateral_threshold,0.3794,cooldown,0.6509,volume,0.1118
103,town04_crossing_parked_plus_slow,13,0.016,45.313198753093275,0.5682,0.0864,0.0248,0.8853,sound,windshield,colorblind,False,1.332,lateral_threshold,0.5034,cooldown,0.6869,volume,0.0927
103,town02_double_stagger,14,0.0,72.9164533647941,0.3137,0.003,0.0,0.9952,sound,windshield,colorblind,True,1.338,lateral_threshold,0.5679,cooldown,0.7299,volume,0.0633
103,town02_crash_plus_slow_npc,15,0.004,76.95110841252902,0.5117,0.0224,0.004,0.9777,sound,windshield,colorblind,True,1.345,lateral_threshold,0.5912,cooldown,0.6279,volume,0.1478
103,town02_slow_npc,16,0.015,70.7829240308783,0.5763,0.0973,0.0263,0.8832,route,panel,RGB,True,1.4,line_width,0.6835,opacity,0.8554,vibration_dist,0.665
103,town01_crash_veer_left,17,0.0,77.34476116687757,0.314,0.0059,0.0,0.9941,arrow,panel,colorblind,False,1.053,scale,0.2553,opacity,0.6828,vibration_dist,0.1094
103,town01_crash_with_parked,18,0.283,52.04515459139608,0.6374,0.3422,0.1644,0.9204,sound,panel,colorblind,False,1.1,lateral_threshold,0.6385,cooldown,0.7329,volume,0.0666
103,town02_crash_plus_slow_npc,19,0.0,77.35486559694051,0.3136,0.0026,0.0,0.9959,sound,panel,RGB,True,1.019,lateral_threshold,0.5816,cooldown,0.7193,volume,0.0
