participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
99,town02_parked_right,0,0.168,54.164453404599236,0.6259,0.2302,0.1004,0.9465,sound,panel,colorblind,False,1.049,lateral_threshold,0.3994,cooldown,0.3825,volume,0.4835
99,town01_tight_gap,1,0.442,14.670363102909498,0.6457,0.8115,0.2128,0.9495,route,windshield,colorblind,False,1.011,line_width,0.5113,opacity,0.5113,vibration_dist,0.6562
99,town01_crash_two_veers,2,0.251,6.333007025492223,0.6313,0.7428,0.2074,0.9341,route,windshield,colorblind,False,0.955,line_width,0.5269,opacity,0.4133,vibration_dist,0.7726
99,town04_crossing_triple,3,0.456,14.470737590074,0.7574,0.8571,0.1817,0.9342,arrow,windshield,colorblind,False,1.078,scale,0.3988,opacity,0.4257,vibration_dist,0.412
99,town01_crash_with_parked,4,0.002,85.9465331793994,0.477,0.0142,0.0013,0.9921,route,panel,colorblind,True,1.186,line_width,0.5303,opacity,0.4059,vibration_dist,0.6904
99,town02_crash_plus_slow_npc,5,0.0,43.9737470312759,0.7922,0.5352,0.1769,0.9142,sound,panel,colorblind,False,1.016,lateral_threshold,0.4767,cooldown,0.304,volume,0.5483
99,town04_crossing_triple,6,0.158,26.303128677338574,0.3831,0.1373,0.3825,0.8974,arrow,panel,RGB,True,1.024,scale,0.4023,opacity,0.2432,vibration_dist,0.4597
99,town01_tight_gap,7,0.38,25.498776825691927,0.7596,0.8332,0.1501,0.9437,sound,windshield,colorblind,True,1.12,lateral_threshold,0.2254,cooldown,0.1308,volume,0.6711
