participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
13,town02_parked_right,0,0.495,28.299217507439693,0.6748,0.493,0.2436,0.9139,route,windshield,RGB,True,1.162,line_width,0.6232,opacity,0.6453,vibration_dist,0.5231
13,town01_tight_gap,1,0.341,48.75213482688205,0.553,0.471,0.2154,0.9256,arrow,panel,RGB,True,1.003,scale,0.4175,opacity,0.5586,vibration_dist,0.6435
13,town01_crash_two_veers,2,0.081,98.12542064356123,0.2604,0.6004,0.2008,0.947,sound,windshield,colorblind,True,0.79,lateral_threshold,0.6261,cooldown,0.5727,volume,0.5055
13,town04_crossing_triple,3,0.082,123.13815509743726,0.4126,0.6914,0.1978,0.9164,arrow,panel,RGB,False,0.659,scale,0.5338,opacity,0.5681,vibration_dist,0.5704
13,town01_crash_with_parked,4,0.419,25.114178829341576,0.691,0.6877,0.2301,0.9289,arrow,panel,RGB,False,0.648,scale,0.3316,opacity,0.4082,vibration_dist,0.6625
13,town02_crash_plus_slow_npc,5,0.477,20.017684888350153,0.7714,0.6616,0.2837,0.9146,arrow,panel,colorblind,False,0.478,scale,0.5025,opacity,0.3577,vibration_dist,0.6922
13,town04_crossing_triple,6,0.465,25.145614008079306,0.4758,0.5726,0.3308,0.9172,arrow,panel,colorblind,False,0.413,scale,0.4055,opacity,0.238,vibration_dist,0.6502
13,town01_tight_gap,7,0.453,21.161924784664862,0.7495,0.7625,0.1992,0.9252,arrow,panel,colorblind,True,0.263,scale,0.2948,opacity,0.3931,vibration_dist,0.5156
13,town02_crash_veer_left,8,0.541,12.429990425726825,0.7605,0.6755,0.2702,0.9282,route,windshield,colorblind,True,0.479,line_width,0.8473,opacity,0.4724,vibration_dist,0.6129
13,town04_crossing_parked_plus_slow,9,0.493,25.726657219448636,0.3616,0.2725,0.391,0.9077,route,windshield,colorblind,True,0.684,line_width,0.7878,opacity,0.3717,vibration_dist,0.5956
13,town04_crossing_parked_plus_slow,10,0.493,21.75233810716221,0.3727,0.4215,0.376,0.926,route,panel,RGB,True,0.939,line_width,0.9589,opacity,0.3506,vibration_dist,0.6982
13,town02_three_parked,11,0.403,5.818598091268393,0.7916,0.8077,0.2434,0.9341,route,panel,RGB,False,0.78,line_width,0.9715,opacity,0.594,vibration_dist,0.8161
13,town02_crash_veer_right,12,0.561,9.522450780415948,0.7392,0.655,0.2937,0.9167,arrow,panel,RGB,False,0.672,scale,0.4236,opacity,0.4009,vibration_dist,0.5783
13,town04_crossing_parked_plus_slow,13,0.576,16.58424079918067,0.4823,0.6918,0.2622,0.9329,arrow,panel,colorblind,False,0.705,scale,0.329,opacity,0.2357,vibration_dist,0.6119
13,town02_double_stagger,14,0.505,29.434163714013998,0.7556,0.7955,0.1737,0.923,sound,panel,RGB,True,0.607,lateral_threshold,0.7651,cooldown,0.6024,volume,0.3583
13,town02_crash_plus_slow_npc,15,0.422,34.170362640654766,0.7337,0.4741,0.2492,0.9037,sound,panel,RGB,False,0.615,lateral_threshold,0.8083,cooldown,0.6906,volume,0.6014
13,town02_slow_npc,16,0.532,9.706328895337359,0.7612,0.7384,0.3144,0.9012,sound,panel,RGB,False,0.641,lateral_threshold,1.0,cooldown,0.7888,volume,0.5249
13,town01_crash_veer_left,17,0.439,11.013594462397764,0.7223,0.7203,0.2153,0.933,sound,panel,RGB,False,0.558,lateral_threshold,0.9342,cooldown,0.5392,volume,0.459
13,town01_crash_with_parked,18,0.02,29.144549948745073,0.6283,0.5159,0.2821,0.8869,sound,windshield,colorblind,False,0.812,lateral_threshold,0.8343,cooldown,0.2411,volume,0.737
13,town02_crash_plus_slow_npc,19,0.428,16.17751801496773,0.6743,0.572,0.3254,0.8978,route,panel,RGB,False,0.817,line_width,1.0,opacity,0.4575,vibration_dist,0.9792
