participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
15,town02_parked_right,0,0.218,48.9648061295815,0.709,0.534,0.0626,0.9732,route,windshield,RGB,True,0.72,line_width,0.505,opacity,0.4618,vibration_dist,0.4972
15,town01_tight_gap,1,0.359,47.64550026810152,0.8478,0.7587,0.0817,0.963,route,windshield,colorblind,True,0.872,line_width,0.5437,opacity,0.4482,vibration_dist,0.7213
15,town01_crash_two_veers,2,0.351,55.59794563264982,0.8617,0.815,0.0932,0.9431,sound,panel,colorblind,False,0.937,lateral_threshold,0.5368,cooldown,0.5475,volume,0.4365
15,town04_crossing_triple,3,0.376,38.28974666958652,0.7526,0.7659,0.1622,0.9482,arrow,windshield,RGB,False,0.819,scale,0.5371,opacity,0.5347,vibration_dist,0.5839
15,town01_crash_with_parked,4,0.358,45.735903936217575,0.8739,0.8293,0.0931,0.9438,sound,panel,colorblind,True,1.179,lateral_threshold,0.2519,cooldown,0.5222,volume,0.6048
15,town02_crash_plus_slow_npc,5,0.42,45.61760947286379,0.8505,0.8113,0.1619,0.9403,arrow,windshield,RGB,False,1.179,scale,0.4487,opacity,0.1491,vibration_dist,0.5585
15,town04_crossing_triple,6,0.359,41.706148070634136,0.7598,0.7311,0.1602,0.9364,arrow,windshield,colorblind,True,1.232,scale,0.6186,opacity,0.0659,vibration_dist,0.7118
15,town01_tight_gap,7,0.284,50.692985392746436,0.8196,0.7228,0.0638,0.9668,arrow,panel,colorblind,True,1.318,scale,0.7836,opacity,0.0966,vibration_dist,0.5856
15,town02_crash_veer_left,8,0.392,41.34175318467375,0.8533,0.7589,0.1121,0.9624,route,panel,RGB,True,1.234,line_width,0.683,opacity,0.5091,vibration_dist,0.6479
15,town04_crossing_parked_plus_slow,9,0.423,34.68048332724406,0.6925,0.7456,0.1736,0.9473,route,windshield,RGB,False,1.011,line_width,0.6743,opacity,0.6358,vibration_dist,0.707
15,town04_crossing_parked_plus_slow,10,0.409,28.250345334589632,0.692,0.7689,0.2359,0.9428,sound,panel,RGB,True,0.911,lateral_threshold,0.7102,cooldown,0.4321,volume,0.3568
15,town02_three_parked,11,0.384,43.42485797940803,0.8302,0.784,0.1612,0.9425,arrow,panel,RGB,True,0.92,scale,0.8793,opacity,0.0203,vibration_dist,0.4615
15,town02_crash_veer_right,12,0.486,30.276796581642124,0.8435,0.8319,0.151,0.9502,sound,windshield,RGB,False,1.039,lateral_threshold,0.8516,cooldown,0.3226,volume,0.5611
15,town04_crossing_parked_plus_slow,13,0.518,21.622740519190838,0.601,0.7936,0.1932,0.9558,sound,panel,colorblind,False,1.265,lateral_threshold,0.8899,cooldown,0.3392,volume,0.4377
15,town02_double_stagger,14,0.376,43.40453808288328,0.8557,0.7817,0.1344,0.9332,arrow,panel,colorblind,False,1.482,scale,0.6818,opacity,0.0,vibration_dist,0.6499
15,town02_crash_plus_slow_npc,15,0.348,52.301349365875986,0.8245,0.7206,0.1399,0.9341,arrow,windshield,colorblind,False,1.317,scale,0.8781,opacity,0.0,vibration_dist,0.5735
15,town02_slow_npc,16,0.364,42.57698809040626,0.839,0.7762,0.1458,0.9385,route,windshield,RGB,False,1.09,line_width,0.8515,opacity,0.7162,vibration_dist,0.8542
15,town01_crash_veer_left,17,0.531,35.18026260161312,0.7324,0.8334,0.1235,0.9464,arrow,panel,RGB,False,1.295,scale,1.0,opacity,0.0093,vibration_dist,0.5703
15,town01_crash_with_parked,18,0.454,35.413838351540264,0.6282,0.8334,0.1546,0.9504,arrow,panel,RGB,False,1.026,scale,0.981,opacity,0.0,vibration_dist,0.6873
15,town02_crash_plus_slow_npc,19,0.433,36.710497513053596,0.8618,0.839,0.2078,0.9322,arrow,windshield,RGB,False,0.966,scale,0.8723,opacity,0.0,vibration_dist,0.836
