participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
14,town02_parked_right,0,0.119,49.86576596327188,0.6018,0.3094,0.0384,0.9677,arrow,windshield,RGB,False,1.461,scale,0.6224,opacity,0.4754,vibration_dist,0.2337
14,town01_tight_gap,1,0.234,47.60736495548433,0.6282,0.6667,0.0772,0.9529,arrow,panel,RGB,True,1.943,scale,0.4769,opacity,0.8321,vibration_dist,0.6604
14,town01_crash_two_veers,2,0.024,48.31696737443767,0.8163,0.7317,0.1417,0.9323,arrow,panel,RGB,False,1.475,scale,0.7906,opacity,0.175,vibration_dist,0.598
14,town04_crossing_triple,3,0.327,42.26371795501164,0.7532,0.6683,0.1572,0.9477,arrow,panel,RGB,False,0.558,scale,0.0536,opacity,0.3134,vibration_dist,0.9828
14,town01_crash_with_parked,4,0.27,53.17795467228461,0.7971,0.6843,0.0841,0.9388,arrow,windshield,RGB,False,0.595,scale,0.9692,opacity,0.5391,vibration_dist,0.6368
14,town02_crash_plus_slow_npc,5,0.316,55.56429884948517,0.8175,0.6962,0.1052,0.9474,arrow,windshield,RGB,True,1.343,scale,0.9319,opacity,0.3858,vibration_dist,0.8122
14,town04_crossing_triple,6,0.378,37.89284124374929,0.7528,0.7752,0.155,0.9568,arrow,panel,RGB,True,0.826,scale,0.608,opacity,0.9531,vibration_dist,0.4187
14,town01_tight_gap,7,0.392,36.28421683959514,0.8441,0.8112,0.1009,0.9488,arrow,panel,RGB,True,0.522,scale,0.0271,opacity,0.6763,vibration_dist,0.1524
14,town02_crash_veer_left,8,0.421,37.02804194825653,0.8467,0.792,0.1356,0.9343,arrow,panel,RGB,True,0.652,scale,0.1232,opacity,0.9366,vibration_dist,0.8661
14,town04_crossing_parked_plus_slow,9,0.0,23.271083176650997,0.675,0.7421,0.2384,0.9426,arrow,windshield,RGB,False,0.887,scale,0.6823,opacity,0.3913,vibration_dist,0.9039
14,town04_crossing_parked_plus_slow,10,0.303,25.687150112808936,0.7032,0.8174,0.1706,0.9528,arrow,windshield,RGB,True,1.743,scale,0.9644,opacity,0.8273,vibration_dist,0.7581
14,town02_three_parked,11,0.358,48.25244181960059,0.8121,0.7412,0.121,0.9445,arrow,windshield,RGB,False,0.892,scale,0.8921,opacity,0.7865,vibration_dist,0.555
14,town02_crash_veer_right,12,0.335,42.55190037862195,0.8409,0.7283,0.1274,0.9351,arrow,panel,RGB,True,0.805,scale,0.8911,opacity,0.3953,vibration_dist,0.3238
14,town04_crossing_parked_plus_slow,13,0.449,26.37674023868245,0.7616,0.8084,0.1583,0.9441,arrow,panel,RGB,False,1.361,scale,0.3572,opacity,0.2538,vibration_dist,0.132
14,town02_double_stagger,14,0.412,43.840970271975856,0.8448,0.7456,0.127,0.9431,arrow,panel,RGB,False,1.302,scale,0.884,opacity,0.7585,vibration_dist,0.3567
14,town02_crash_plus_slow_npc,15,0.357,50.75311166279284,0.8499,0.787,0.1177,0.9392,arrow,panel,RGB,True,1.722,scale,0.6069,opacity,0.4872,vibration_dist,0.1867
14,town02_slow_npc,16,0.3,47.788510683968944,0.8278,0.718,0.0898,0.9402,arrow,panel,RGB,False,1.691,scale,0.0069,opacity,0.4323,vibration_dist,0.4396
14,town01_crash_veer_left,17,0.347,42.23456149837663,0.8389,0.7599,0.0933,0.9415,arrow,windshield,RGB,False,1.747,scale,0.7583,opacity,0.1007,vibration_dist,0.465
14,town01_crash_with_parked,18,0.407,27.37684760375266,0.8133,0.8547,0.1525,0.9387,arrow,windshield,RGB,True,1.313,scale,0.9056,opacity,0.5615,vibration_dist,0.8085
14,town02_crash_plus_slow_npc,19,0.446,43.53245965502608,0.8382,0.8435,0.1798,0.9305,arrow,panel,RGB,False,1.414,scale,0.7009,opacity,0.8798,vibration_dist,0.2174
