participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
21,town02_parked_right,0,0.514,22.653010593269887,0.6014,0.6832,0.2634,0.9375,arrow,panel,RGB,True,1.035,scale,0.3778,opacity,0.5237,vibration_dist,0.7184
21,town01_tight_gap,1,0.197,54.457837507306486,0.3768,0.6865,0.1909,0.9516,arrow,windshield,RGB,True,0.91,scale,0.2005,opacity,0.4742,vibration_dist,0.46
21,town01_crash_two_veers,2,0.089,86.05108947044762,0.3057,0.7839,0.1472,0.9541,arrow,panel,RGB,False,1.36,scale,0.7459,opacity,0.968,vibration_dist,0.6797
21,town04_crossing_triple,3,0.47,15.16275408702401,0.6208,0.8028,0.2126,0.9453,arrow,panel,RGB,True,1.554,scale,0.8553,opacity,0.1671,vibration_dist,0.3053
21,town01_crash_with_parked,4,0.206,18.067941895890936,0.7216,0.7454,0.1216,0.9298,arrow,panel,RGB,True,1.574,scale,0.2803,opacity,0.3597,vibration_dist,0.4355
21,town02_crash_plus_slow_npc,5,0.455,7.6699713040711055,0.7292,0.8438,0.2393,0.9504,arrow,panel,RGB,True,1.073,scale,0.0215,opacity,0.5236,vibration_dist,0.2842
21,town04_crossing_triple,6,0.439,21.979614298498884,0.726,0.8129,0.1838,0.9527,arrow,windshield,RGB,True,0.92,scale,0.3896,opacity,0.1014,vibration_dist,0.6082
21,town01_tight_gap,7,0.392,35.13046573925207,0.782,0.8099,0.1178,0.9259,arrow,windshield,RGB,True,1.881,scale,0.6295,opacity,0.3926,vibration_dist,0.5813
21,town02_crash_veer_left,8,0.463,24.022074818104038,0.8009,0.8493,0.1855,0.9411,arrow,windshield,RGB,True,1.712,scale,0.2124,opacity,0.0341,vibration_dist,0.8302
21,town04_crossing_parked_plus_slow,9,0.458,25.316594670648403,0.7065,0.7977,0.188,0.9448,arrow,windshield,RGB,True,1.196,scale,0.7379,opacity,0.447,vibration_dist,0.0355
21,town04_crossing_parked_plus_slow,10,0.488,23.015774656708217,0.6743,0.7966,0.2045,0.947,arrow,windshield,RGB,True,1.234,scale,0.9681,opacity,0.5446,vibration_dist,0.7454
21,town02_three_parked,11,0.436,36.628701172973706,0.8317,0.869,0.1579,0.9303,arrow,panel,RGB,True,0.611,scale,0.5821,opacity,0.3474,vibration_dist,0.452
21,town02_crash_veer_right,12,0.401,32.804115384682355,0.752,0.8041,0.1913,0.9418,arrow,windshield,RGB,True,0.629,scale,0.1745,opacity,0.7558,vibration_dist,0.9762
21,town04_crossing_parked_plus_slow,13,0.441,22.69338616946048,0.6443,0.7909,0.1973,0.9502,arrow,panel,RGB,True,0.67,scale,0.8204,opacity,0.3417,vibration_dist,0.6866
21,town02_double_stagger,14,0.443,28.236566286028694,0.8197,0.8469,0.1658,0.9419,arrow,panel,RGB,False,1.67,scale,0.1022,opacity,0.6569,vibration_dist,0.2987
21,town02_crash_plus_slow_npc,15,0.501,16.484896011907104,0.7499,0.8629,0.1936,0.9531,arrow,panel,RGB,False,1.267,scale,0.6014,opacity,0.4467,vibration_dist,0.5552
21,town02_slow_npc,16,0.457,14.217214130396764,0.7301,0.8482,0.1962,0.951,arrow,panel,RGB,False,1.389,scale,0.7472,opacity,0.5324,vibration_dist,0.1203
21,town01_crash_veer_left,17,0.323,38.46032118941997,0.755,0.8165,0.1257,0.947,arrow,panel,RGB,True,1.456,scale,0.0713,opacity,0.7535,vibration_dist,0.9206
21,town01_crash_with_parked,18,0.159,25.47961227819311,0.7417,0.6734,0.0573,0.9484,arrow,windshield,RGB,False,1.195,scale,0.0099,opacity,0.2762,vibration_dist,0.7256
21,town02_crash_plus_slow_npc,19,0.443,33.776322762472134,0.7809,0.807,0.1682,0.9456,arrow,windshield,RGB,True,0.979,scale,0.781,opacity,0.2175,vibration_dist,0.9304
