participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
10,town02_parked_right,0,0.327,42.45169469716642,0.7789,0.6087,0.0952,0.9247,arrow,windshield,RGB,False,1.077,scale,0.1268,opacity,0.5292,vibration_dist,0.409
10,town01_tight_gap,1,0.397,35.313241322667274,0.7467,0.6858,0.1191,0.9364,arrow,panel,RGB,True,0.551,scale,0.4321,opacity,0.6008,vibration_dist,0.3584
10,town01_crash_two_veers,2,0.284,69.57804001877106,0.8106,0.7006,0.0523,0.9471,arrow,windshield,RGB,False,1.396,scale,0.8363,opacity,0.1444,vibration_dist,0.3278
10,town04_crossing_triple,3,0.323,43.6333692726757,0.7833,0.6942,0.1059,0.9566,arrow,panel,RGB,False,1.85,scale,0.1332,opacity,0.2663,vibration_dist,0.4635
10,town01_crash_with_parked,4,0.0,62.182023529326926,0.6426,0.3414,0.2717,0.9482,arrow,windshield,RGB,True,1.141,scale,0.3234,opacity,0.3085,vibration_dist,0.7974
10,town02_crash_plus_slow_npc,5,0.479,10.208557431851565,0.7485,0.7872,0.2455,0.9282,arrow,windshield,RGB,True,1.159,scale,0.8106,opacity,0.6256,vibration_dist,0.0962
10,town04_crossing_triple,6,0.377,33.60269093401527,0.8514,0.7431,0.1493,0.9223,arrow,panel,RGB,False,1.178,scale,0.7172,opacity,0.9165,vibration_dist,0.4035
10,town01_tight_gap,7,0.417,35.50249730003259,0.8622,0.7752,0.1187,0.9224,arrow,panel,RGB,True,1.252,scale,0.6684,opacity,0.9965,vibration_dist,0.2071
10,town02_crash_veer_left,8,0.445,32.80756443983593,0.8713,0.8085,0.1263,0.9502,arrow,windshield,RGB,True,1.523,scale,0.6708,opacity,0.7917,vibration_dist,0.7569
10,town04_crossing_parked_plus_slow,9,0.268,22.905950215910156,0.7044,0.7843,0.2159,0.9418,arrow,panel,RGB,False,1.593,scale,0.1468,opacity,0.2383,vibration_dist,0.6169
10,town04_crossing_parked_plus_slow,10,0.36,33.10700556537532,0.8387,0.8209,0.1633,0.9347,arrow,panel,RGB,True,1.325,scale,0.961,opacity,0.9461,vibration_dist,0.201
10,town02_three_parked,11,0.0,27.067113982799697,0.831,0.7554,0.2566,0.9054,arrow,windshield,RGB,True,1.982,scale,0.3583,opacity,0.6054,vibration_dist,0.4718
10,town02_crash_veer_right,12,0.388,45.86217565792152,0.8452,0.7044,0.1306,0.9382,arrow,panel,RGB,False,1.395,scale,0.8666,opacity,0.8395,vibration_dist,0.5865
10,town04_crossing_parked_plus_slow,13,0.541,21.25165222730812,0.5252,0.7902,0.247,0.9403,arrow,windshield,RGB,True,1.651,scale,0.8867,opacity,0.1996,vibration_dist,0.7583
10,town02_double_stagger,14,0.491,19.08338817220864,0.7829,0.839,0.2236,0.9373,arrow,windshield,RGB,False,0.864,scale,0.4772,opacity,0.1273,vibration_dist,0.5572
10,town02_crash_plus_slow_npc,15,0.453,31.82994917803374,0.8134,0.7096,0.2133,0.931,arrow,panel,RGB,False,1.174,scale,0.2634,opacity,0.4632,vibration_dist,0.1736
10,town02_slow_npc,16,0.564,20.752664222152973,0.7587,0.7953,0.2318,0.9335,arrow,windshield,RGB,False,1.23,scale,0.0044,opacity,0.5488,vibration_dist,0.5932
10,town01_crash_veer_left,17,0.471,9.994518847135257,0.6363,0.6914,0.2049,0.9416,arrow,panel,RGB,True,0.805,scale,0.1653,opacity,0.8021,vibration_dist,0.8241
10,town01_crash_with_parked,18,0.381,25.674036614735133,0.3646,0.5967,0.3138,0.9306,arrow,windshield,RGB,False,1.117,scale,0.5529,opacity,0.7789,vibration_dist,0.2585
10,town02_crash_plus_slow_npc,19,0.367,17.21721628786441,0.665,0.8173,0.3048,0.9279,arrow,windshield,RGB,True,0.505,scale,0.8348,opacity,0.7157,vibration_dist,0.1
