participant_number,scenario,iteration,driving_score,episode_loss,style_speed,style_efficiency,style_aggressiveness,style_comfort,gui_type,gui_location,gui_color,gui_vibration,gui_lag,gui_p0_name,gui_p0_val,gui_p1_name,gui_p1_val,gui_p2_name,gui_p2_val
6,town02_parked_right,0,0.535,5.17035151577308,0.7393,0.5559,0.306,0.8917,arrow,windshield,RGB,True,0.644,scale,0.5398,opacity,0.9442,vibration_dist,0.5826
6,town01_tight_gap,1,0.443,13.475191869939689,0.6839,0.8298,0.1845,0.9423,arrow,windshield,RGB,True,1.896,scale,0.0195,opacity,0.9041,vibration_dist,0.3508
6,town01_crash_two_veers,2,0.352,9.017382145250169,0.5292,0.6317,0.2089,0.9344,arrow,windshield,RGB,False,0.821,scale,0.2762,opacity,0.024,vibration_dist,0.2863
6,town04_crossing_triple,3,0.0,18.96784951858638,0.6151,0.5794,0.3836,0.914,arrow,panel,RGB,True,1.704,scale,0.0723,opacity,0.2041,vibration_dist,0.0462
6,town01_crash_with_parked,4,0.391,10.156182411443028,0.6694,0.8614,0.1676,0.9447,arrow,windshield,RGB,False,1.61,scale,0.0401,opacity,0.678,vibration_dist,0.5189
6,town02_crash_plus_slow_npc,5,0.345,10.207230911345617,0.71,0.569,0.2903,0.9153,arrow,panel,RGB,True,1.049,scale,0.7413,opacity,0.3327,vibration_dist,0.5183
6,town04_crossing_triple,6,0.456,34.810723914844154,0.5467,0.2696,0.2599,0.9154,arrow,windshield,RGB,True,1.393,scale,0.7805,opacity,0.8602,vibration_dist,0.8965
6,town01_tight_gap,7,0.479,12.55244557322096,0.6727,0.7715,0.185,0.9295,arrow,windshield,RGB,True,1.274,scale,0.484,opacity,0.6504,vibration_dist,0.0948
6,town02_crash_veer_left,8,0.552,4.356581182537689,0.8157,0.6908,0.2573,0.9145,arrow,windshield,RGB,True,0.911,scale,0.1739,opacity,0.5017,vibration_dist,0.9504
6,town04_crossing_parked_plus_slow,9,0.512,6.593349479838001,0.5903,0.6285,0.2266,0.93,arrow,windshield,RGB,False,1.369,scale,0.8165,opacity,0.4873,vibration_dist,0.316
6,town04_crossing_parked_plus_slow,10,0.484,5.2706937228188,0.6453,0.7299,0.2619,0.9229,arrow,windshield,RGB,True,0.848,scale,0.1092,opacity,0.2004,vibration_dist,0.1663
6,town02_three_parked,11,0.531,6.861441858255899,0.7616,0.5609,0.3221,0.898,arrow,panel,RGB,True,1.582,scale,0.1771,opacity,0.6907,vibration_dist,0.0911
6,town02_crash_veer_right,12,0.134,5.756963053499513,0.7581,0.7134,0.2754,0.9076,arrow,panel,RGB,False,1.738,scale,0.7186,opacity,0.8336,vibration_dist,0.3137
6,town04_crossing_parked_plus_slow,13,0.0,14.82209630362426,0.6118,0.6302,0.3395,0.9106,arrow,windshield,RGB,False,0.91,scale,0.6418,opacity,0.6637,vibration_dist,0.9788
6,town02_double_stagger,14,0.486,6.831510247628255,0.7686,0.711,0.2901,0.8863,arrow,panel,RGB,False,1.509,scale,0.0828,opacity,0.4896,vibration_dist,0.188
6,town02_crash_plus_slow_npc,15,0.462,4.79589786533562,0.7596,0.6625,0.2957,0.8943,arrow,windshield,RGB,False,1.453,scale,0.4203,opacity,0.332,vibration_dist,0.896
6,town02_slow_npc,16,0.469,7.7327220612909136,0.7698,0.72,0.2443,0.9158,arrow,panel,RGB,False,1.031,scale,0.2556,opacity,0.3549,vibration_dist,0.9826
6,town01_crash_veer_left,17,0.397,7.058611907716002,0.6783,0.7463,0.1971,0.9382,arrow,windshield,RGB,False,1.748,scale,0.3791,opacity,0.5197,vibration_dist,0.0803
6,town01_crash_with_parked,18,0.375,10.767194719276109,0.6591,0.8588,0.1858,0.941,arrow,panel,RGB,True,0.672,scale,0.1085,opacity,0.4135,vibration_dist,0.1575
6,town02_crash_plus_slow_npc,19,0.461,7.779330372299366,0.6915,0.5665,0.2953,0.9054,arrow,windshield,RGB,False,1.353,scale,0.0494,opacity,0.9632,vibration_dist,0.3497
