actor_tag,actor_id,frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,map
hero,132,141456,5987.803,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141456,5987.803,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141457,5987.865,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141457,5987.865,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141458,5987.936,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141458,5987.936,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141459,5988.005,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141459,5988.005,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141460,5988.065,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141460,5988.065,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141461,5988.136,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141461,5988.136,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141462,5988.208,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141462,5988.208,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141463,5988.275,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141463,5988.275,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
hero,132,141464,5988.339,20.000,248.000,0.019,0.000,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,140,141464,5988.339,20.000,251.600,-0.012,0.000,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.068,1.818,1.682,Town06
